產品,賣點,目標客群,語氣,通路
湯包,賣點-12,目標客群-11,語氣-11,批發
冷凍水餃,賣點-03,目標客群-04,語氣-11,電商
即食雞胸,賣點-03,目標客群-11,語氣-05,門市
能量棒,賣點-02,目標客群-11,語氣-12,批發
蛋捲,賣點-04,目標客群-07,語氣-02,批發
氣泡飲,賣點-11,目標客群-09,語氣-02,批發
沙拉醬,賣點-09,目標客群-05,語氣-12,電商
布丁,賣點-04,目標客群-04,語氣-10,官網
冷凍水餃,賣點-09,目標客群-07,語氣-09,電商
滷味包,賣點-11,目標客群-11,語氣-04,直營
布丁,賣點-02,目標客群-06,語氣-05,門市
能量棒,賣點-04,目標客群-03,語氣-01,直營
豆漿,賣點-07,目標客群-03,語氣-11,外送
蛋捲,賣點-01,目標客群-12,語氣-11,官網
原味吐司,賣點-10,目標客群-09,語氣-08,外送
泡芙,賣點-11,目標客群-09,語氣-08,直營
蛋捲,賣點-09,目標客群-12,語氣-08,批發
能量棒,賣點-06,目標客群-08,語氣-08,官網
冷凍水餃,賣點-06,目標客群-07,語氣-07,門市
布丁,賣點-02,目標客群-02,語氣-04,門市
巧克力餅乾,賣點-09,目標客群-01,語氣-03,外送
豆漿,賣點-08,目標客群-11,語氣-05,批發
巧克力餅乾,賣點-09,目標客群-04,語氣-04,官網
泡芙,賣點-06,目標客群-04,語氣-01,直營
鮮奶茶,賣點-11,目標客群-07,語氣-10,門市
冷凍水餃,賣點-08,目標客群-01,語氣-04,批發
果醬,賣點-08,目標客群-03,語氣-02,批發
杯裝優格,賣點-06,目標客群-02,語氣-05,外送
泡芙,賣點-11,目標客群-06,語氣-05,批發
能量棒,賣點-06,目標客群-06,語氣-01,官網
布丁,賣點-10,目標客群-04,語氣-04,官網
巧克力餅乾,賣點-11,目標客群-08,語氣-06,門市
果醬,賣點-03,,語氣-01,電商
布丁,賣點-10,目標客群-09,語氣-05,直營
果醬,賣點-01,目標客群-03,語氣-05,直營
杯裝優格,賣點-11,目標客群-05,語氣-10,直營
沙拉醬,賣點-10,目標客群-06,語氣-01,官網
鮮奶茶,賣點-01,目標客群-10,語氣-03,直營
布丁,賣點-11,目標客群-06,語氣-02,門市
冷凍水餃,賣點-07,目標客群-08,語氣-09,官網
巧克力餅乾,賣點-07,目標客群-11,語氣-08,批發
能量棒,賣點-09,目標客群-12,語氣-03,批發
原味吐司,賣點-10,目標客群-11,語氣-01,門市
氣泡飲,賣點-03,目標客群-12,語氣-10,外送
湯包,賣點-03,目標客群-01,語氣-12,電商
果醬,賣點-11,目標客群-12,語氣-06,門市
滷味包,賣點-05,目標客群-09,語氣-11,批發
滷味包,賣點-06,目標客群-03,語氣-11,外送
杯裝優格,賣點-04,目標客群-01,語氣-04,直營
鮮乳,賣點-11,目標客群-02,語氣-10,直營
蛋捲,,目標客群-10,語氣-10,外送
杯裝優格,賣點-05,目標客群-08,語氣-06,門市
巧克力餅乾,賣點-07,目標客群-07,語氣-09,門市
泡芙,賣點-04,目標客群-04,語氣-09,直營
豆漿,賣點-03,目標客群-01,語氣-10,官網
豆漿,賣點-03,目標客群-06,語氣-08,批發
原味吐司,賣點-01,目標客群-06,語氣-05,門市
湯包,賣點-09,目標客群-08,語氣-04,批發
湯包,賣點-12,目標客群-09,語氣-08,外送
原味吐司,賣點-06,目標客群-05,語氣-11,直營
能量棒,賣點-01,目標客群-06,語氣-04,直營
湯包,賣點-10,目標客群-10,語氣-11,批發
蛋捲,賣點-02,目標客群-02,語氣-10,外送
蛋捲,賣點-12,目標客群-06,語氣-05,直營
即食雞胸,賣點-05,目標客群-08,語氣-03,電商
冷凍水餃,賣點-03,目標客群-09,語氣-12,批發
果醬,賣點-11,目標客群-10,語氣-08,直營
豆漿,賣點-11,目標客群-03,語氣-10,直營
蛋捲,賣點-03,目標客群-02,語氣-04,電商
布丁,賣點-05,目標客群-08,語氣-06,直營
鮮乳,賣點-10,目標客群-12,語氣-06,門市
泡芙,賣點-12,目標客群-03,語氣-05,電商
沙拉醬,賣點-10,目標客群-10,語氣-11,直營
杯裝優格,賣點-01,目標客群-06,語氣-05,批發
鮮乳,賣點-12,目標客群-03,語氣-07,外送
湯包,賣點-04,目標客群-12,語氣-05,直營
鮮奶茶,賣點-03,目標客群-06,語氣-05,批發
即食雞胸,賣點-06,目標客群-05,語氣-11,批發
原味吐司,賣點-05,目標客群-05,語氣-03,電商
果醬,賣點-01,目標客群-07,語氣-07,外送
冷凍水餃,賣點-08,目標客群-02,語氣-05,電商
湯包,賣點-07,目標客群-01,語氣-06,門市
鮮乳,賣點-05,目標客群-02,語氣-07,直營
即食雞胸,賣點-05,目標客群-12,語氣-04,外送
鮮奶茶,賣點-11,目標客群-07,語氣-02,官網
巧克力餅乾,賣點-07,目標客群-05,語氣-06,批發
果醬,賣點-07,目標客群-11,語氣-09,直營
原味吐司,賣點-07,目標客群-07,語氣-09,官網
氣泡飲,賣點-03,目標客群-08,語氣-06,直營
鮮乳,賣點-09,目標客群-12,語氣-06,批發
沙拉醬,賣點-07,目標客群-08,語氣-03,直營
泡芙,賣點-06,目標客群-06,語氣-01,官網
氣泡飲,賣點-10,目標客群-09,語氣-12,直營
杯裝優格,賣點-10,目標客群-02,語氣-08,官網
豆漿,賣點-12,目標客群-12,語氣-08,門市
泡芙,賣點-08,目標客群-06,語氣-11,外送
冷凍水餃,賣點-10,目標客群-12,語氣-07,門市
豆漿,賣點-02,目標客群-09,語氣-08,直營
蛋捲,賣點-02,目標客群-04,語氣-06,外送
豆漿,賣點-11,目標客群-03,語氣-11,外送
氣泡飲,賣點-07,目標客群-11,語氣-03,門市
氣泡飲,賣點-12,目標客群-04,語氣-03,外送
即食雞胸,賣點-05,目標客群-04,語氣-09,門市
鮮奶茶,賣點-10,目標客群-06,語氣-12,直營
豆漿,賣點-09,目標客群-11,語氣-09,電商
豆漿,賣點-07,目標客群-01,語氣-07,直營
沙拉醬,賣點-04,目標客群-01,語氣-06,電商
滷味包,賣點-06,目標客群-05,語氣-03,直營
泡芙,賣點-08,目標客群-02,語氣-09,批發
,賣點-02,目標客群-08,語氣-04,批發
冷凍水餃,賣點-12,目標客群-01,語氣-03,電商
冷凍水餃,賣點-06,目標客群-04,語氣-12,官網
豆漿,賣點-10,目標客群-11,語氣-03,直營
滷味包,賣點-09,,語氣-02,門市
杯裝優格,賣點-04,目標客群-10,語氣-08,批發
即食雞胸,賣點-04,目標客群-09,語氣-03,外送
豆漿,賣點-07,目標客群-12,語氣-06,門市
即食雞胸,賣點-12,目標客群-08,語氣-03,直營
鮮乳,賣點-12,目標客群-03,語氣-12,官網
沙拉醬,賣點-09,目標客群-10,語氣-02,直營
堅果包,賣點-01,目標客群-08,語氣-06,電商
蛋捲,賣點-01,目標客群-04,,外送
杯裝優格,賣點-08,目標客群-06,語氣-05,電商
蛋捲,賣點-12,目標客群-05,語氣-05,直營
鮮奶茶,賣點-01,目標客群-10,語氣-11,外送
豆漿,賣點-11,目標客群-02,語氣-07,門市
布丁,賣點-09,目標客群-06,語氣-07,直營
杯裝優格,賣點-02,目標客群-02,語氣-01,門市
氣泡飲,賣點-12,目標客群-12,語氣-03,電商
冷凍水餃,賣點-03,目標客群-07,語氣-07,電商
杯裝優格,賣點-10,目標客群-08,語氣-12,門市
冷凍水餃,賣點-12,目標客群-01,語氣-12,電商
蛋捲,賣點-01,目標客群-01,語氣-03,外送
氣泡飲,賣點-05,目標客群-12,語氣-12,官網
湯包,賣點-06,目標客群-08,語氣-08,門市
果醬,賣點-10,目標客群-09,語氣-11,外送
果醬,賣點-04,目標客群-06,語氣-09,直營
湯包,賣點-12,目標客群-01,語氣-03,電商
泡芙,賣點-11,目標客群-10,語氣-06,批發
杯裝優格,賣點-02,目標客群-09,語氣-07,電商
冷凍水餃,賣點-05,目標客群-05,語氣-12,批發
即食雞胸,賣點-02,目標客群-10,語氣-01,官網
湯包,賣點-02,目標客群-01,語氣-08,電商
堅果包,賣點-11,目標客群-11,語氣-03,官網
豆漿,賣點-05,目標客群-07,語氣-06,官網
鮮乳,賣點-08,目標客群-07,語氣-07,直營
原味吐司,賣點-01,目標客群-10,語氣-09,官網
堅果包,賣點-11,目標客群-07,語氣-10,電商
豆漿,賣點-01,目標客群-05,語氣-06,外送
原味吐司,賣點-03,目標客群-10,語氣-05,電商
鮮奶茶,賣點-03,目標客群-09,語氣-04,電商
湯包,賣點-03,目標客群-07,語氣-04,官網
泡芙,賣點-04,目標客群-03,語氣-01,官網
氣泡飲,賣點-10,目標客群-07,語氣-07,批發
堅果包,賣點-11,目標客群-12,語氣-02,官網
氣泡飲,賣點-03,目標客群-02,語氣-08,外送
能量棒,賣點-10,目標客群-04,語氣-03,外送
沙拉醬,賣點-12,目標客群-08,語氣-07,電商
豆漿,賣點-04,目標客群-11,語氣-10,批發
冷凍水餃,賣點-07,目標客群-03,語氣-07,電商
堅果包,賣點-03,目標客群-02,語氣-06,外送
鮮乳,賣點-02,目標客群-01,語氣-03,門市
泡芙,賣點-02,目標客群-05,語氣-10,外送
滷味包,賣點-09,目標客群-12,語氣-09,電商
冷凍水餃,賣點-05,目標客群-05,語氣-07,電商
鮮乳,賣點-02,目標客群-03,語氣-07,電商
鮮乳,賣點-08,目標客群-01,語氣-04,門市
布丁,賣點-08,目標客群-05,語氣-03,外送
能量棒,賣點-10,目標客群-10,語氣-01,外送
湯包,賣點-09,目標客群-05,語氣-05,外送
鮮乳,賣點-07,目標客群-12,語氣-10,電商
布丁,賣點-08,目標客群-09,語氣-06,直營
湯包,賣點-01,目標客群-10,語氣-12,批發
鮮乳,賣點-02,目標客群-06,語氣-12,電商
布丁,賣點-06,目標客群-06,語氣-08,批發
沙拉醬,賣點-05,目標客群-02,語氣-08,電商
堅果包,賣點-12,目標客群-02,語氣-07,外送
氣泡飲,賣點-09,目標客群-07,語氣-03,門市
堅果包,賣點-06,目標客群-07,語氣-06,電商
巧克力餅乾,賣點-05,目標客群-06,語氣-11,門市
鮮乳,賣點-12,目標客群-03,語氣-07,外送
